,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct
222,Old Dominion University (ODU),Computer Science,0.63,2018-2019,1st,,1,2018,16700,19100,0,0,19100,MathematicsAndComputer Science,MathematicsAndComputer Science,low,2400,2400
223,University of Minnesota - Twin Cities (UM),Applied Plant Sciences,1.28,2020-2021,3rd,,3,2020,29366,31033,0,0,31033,Applied Plant Sciences,Other,low,1667,1667
224,Colorado State University (CSU),Chemistry,1.08,2020-2021,2nd,"First Year fees are more than double this, but I was offered a fellowship which covered their cost. Also includes full healthcare coverage through the university.",2,2020,24200,25000,0,0,25000,Chemistry,Chemistry,low,800,800
227,Georgia Institute of Technology (Georgia Tech),Aerospace Engineering,1.03,2020-2021,2nd,Fees ~1k per fall/spring and $500 for the summer. Health Insurance not included in these fees. Tuition is waived.,2,2020,23900,26400,0,0,26400,Engineering,Engineering,low,2500,2500
230,Vanderbilt University,Chemical & Physical Biology,1.4,2020-2021,5th,,5,2020,32100,32500,0,0,32500,Chemical & Physical Biology,Other,low,400,400
232,Rutgers the State University of New Jersey - New Brunswick,Clinical Psychology,0.97,2020-2021,1st,,1,2020,25000,0,25000,0,25000,Medical,Medical,high,0,0
233,Princeton University,Psychology,1.61,2020-2021,1st,,1,2020,40960,0,34800,6160,40960,HistPolSoc,HistPolSoc,high,0,0
234,University of Southern California (USC),physics,1.24,2020-2021,1st,,1,2020,32000,32000,0,0,32000,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0
235,University of Vermont (UVM),Neuroscience,1.11,2020-2021,1st,,1,2020,28975,30275,0,0,30275,Medical,Medical,low,1300,1300
236,North Carolina State University (NCSU),Biomedical Engineering,1.71,2020-2021,3rd,NSF GRFP (34K) plus supplement from advisor (5k),3,2020,39000,39000,0,0,39000,Engineering,Engineering,low,0,0
237,University of Wisconsin - Madison (UW),Educational Psychology,0.79,2020-2021,1st,,1,2020,18100,0,18100,0,18100,Educational Psychology,Other,high,0,0
239,Indiana University,Sociology,1.0,2020-2021,1st,Increase in 500 each year for 3 years,1,2020,21500,21500,0,0,21500,HistPolSoc,HistPolSoc,low,0,0
240,Case Western Reserve University,math,0.89,2019-2020,2nd,,2,2019,17892,0,18000,0,18000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,108,108
242,University of Louisiana - Lafayette,Biology,1.05,2020-2021,1st,TA stipend and additional scholarship from the Biology department. Health insurance not included.,1,2020,22100,0,22300,0,22300,Biology,Biology,high,200,200
243,University of Virginia (UVA),Psychology,1.05,2019-2020,1st,,1,2019,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0
244,University of Virginia (UVA),Psychology,1.05,2020-2021,3rd,,3,2020,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0
245,University of Virginia (UVA),Psychology,1.05,2020-2021,1st,,1,2020,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0
246,University of Virginia (UVA),Psychology,0.88,2019-2020,5th,,5,2019,20000,0,20000,0,20000,HistPolSoc,HistPolSoc,high,0,0
248,University of Virginia (UVA),Psychology,1.05,2020-2021,5th,,5,2020,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0
250,Yale University (YU),Religion,1.32,2020-2021,1st,,1,2020,32700,32700,0,0,32700,ArtsAndTheology,ArtsAndTheology,low,0,0
251,Iowa State University (ISU),Physics,1.14,2018-2019,3rd,,3,2018,24100,25200,0,0,25200,PhysicsAndAstronomy,PhysicsAndAstronomy,low,1100,1100
252,University of Pennsylvania,Bioengineering,1.43,2020-2021,1st,,1,2020,34500,34500,0,0,34500,Engineering,Engineering,low,0,0
253,Iowa State University (ISU),Physics,0.04,2020-2021,1st,,1,2020,900,2100,0,0,2100,PhysicsAndAstronomy,PhysicsAndAstronomy,low,1200,1200
255,Northwestern University (NU),Mechanical Engineering,1.34,2020-2021,1st,We get paid about $2700 a month and the fees are only $125 per quarter. And health insurance worth over $4000,1,2020,32425,32800,0,0,32800,Engineering,Engineering,low,375,375
256,University of Michigan - Ann Arbor (UM),Aerospace Department ,1.42,2020-2021,1st,Health and dental insurance benefits included. Tuition for Fall and Winter terms. ,1,2020,32664,32664,0,0,32664,Aerospace Department ,Other,low,0,0
257,University of California - Davis (UCD),Biophysics,1.33,2020-2021,1st,,1,2020,32000,32000,0,0,32000,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0
258,University of Oregon (UO),Media ,1.78,2020-2021,1st,,1,2020,37337,37500,0,0,37500,Media ,Other,low,163,163
259,Syracuse University,geography,1.2,2020-2021,1st,,1,2020,25533,0,21000,4533,25533,geography,Other,high,0,0
260,Massachusetts Institute of Technology (MIT),Physics,1.47,2020-2021,5th,Stipend change not going into effect until September ,5,2020,41133,41501,0,0,41501,PhysicsAndAstronomy,PhysicsAndAstronomy,low,368,368
261,University of Alabama (UA),Engineering,0.75,2020-2021,1st,,1,2020,15750,0,15750,0,15750,Engineering,Engineering,high,0,0
262,Oklahoma State University (OSU),Industrial Engineering MS,0.57,2019-2020,2nd,,2,2019,11000,0,16000,0,16000,Industrial Engineering MS,Other,high,5000,5000
263,Texas Tech University (TTU),Computer Science PhD,1.43,2020-2021,1st,,1,2020,29000,29000,0,0,29000,Computer Science PhD,Other,low,0,0
266,Washington State University (WSU),Computer Science,1.29,2019-2020,1st,It's very cheap in Pullman and funding is very good relatively. Though summer funding is not ensured for all. It's 2200 per month.,1,2019,24400,26400,0,0,26400,MathematicsAndComputer Science,MathematicsAndComputer Science,low,2000,2000
267,University of Florida (UF),Geological Sciences,1.18,2020-2021,1st,In addition to tuition waiver. Overall pay doesn't include $10 per month for health insurance and graduate fees (~$1000-1400 per year). ,1,2020,26780,26780,0,0,26780,Geography,Geography,low,0,0
268,University of Southern California (USC),Linguistics,1.18,2020-2021,1st,,1,2020,30500,0,30500,0,30500,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0
271,University of North Texas (UNT),Accounting,1.05,2020-2021,1st,,1,2020,22600,25000,0,0,25000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,2400,2400
272,Temple University (TU),Physics,1.2,2019-2020,1st,University fellowship,1,2019,28980,30000,0,0,30000,PhysicsAndAstronomy,PhysicsAndAstronomy,low,1020,1020
273,University of Notre Dame (ND),History ,1.12,2020-2021,4th,,4,2020,23000,23000,0,0,23000,HistPolSoc,HistPolSoc,low,0,0
276,University of Michigan - Ann Arbor (UM),Program in Biomedical Sciences,1.42,2020-2021,1st,,1,2020,32739,32739,0,0,32739,Program in Biomedical Sciences,Other,low,0,0
277,University of Michigan - Ann Arbor (UM),EE PhD,1.42,2020-2021,4th,Stipend only,4,2020,32668,32668,0,0,32668,EE PhD,Other,low,0,0
278,Florida State University (FSU),Religious Studies,0.72,2020-2021,1st,,1,2020,16750,0,16750,0,16750,ArtsAndTheology,ArtsAndTheology,high,0,0
279,Clemson University (CU),Computer Science,1.3,2020-2021,1st,,1,2020,27000,27000,0,0,27000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0
280,George Washington University (GW),Spanish ,0.47,2020-2021,1st,,1,2020,14560,15360,0,0,15360,Spanish ,Other,low,800,800
281,University of Michigan - Ann Arbor (UM),Biomedical Engineering,1.42,2020-2021,1st,,1,2020,32670,32670,0,0,32670,Engineering,Engineering,low,0,0
282,Southern Illinois University - Carbondale (SIUC),Phd Matketing,0.8,2020-2021,1st,I am starting PhD in Marketing from this Fall. Only comment is I wonder why the funding is so less. My friends in Nebraska are paid more than what I will be getting. I wonder if there is any chance the stipend would increase.,1,2020,16000,20000,0,0,20000,Phd Matketing,Other,low,4000,4000
283,University of Michigan - Ann Arbor (UM),Mechanical Engineering,1.42,2020-2021,1st,,1,2020,32670,32670,0,0,32670,Engineering,Engineering,low,0,0
284,Northwestern University (NU),Health Sciences Integrated PhD Program,1.38,2020-2021,1st,,1,2020,33504,33504,0,0,33504,Health Sciences Integrated PhD Program,Other,low,0,0
286,North Dakota State University (NDSU),Industrial and manufacturing engineering ,0.65,2019-2020,1st,,1,2019,12500,15000,0,0,15000,Industrial and manufacturing engineering ,Other,low,2500,2500
287,University of Wisconsin - Madison (UW),Chemistry,1.16,2020-2021,1st,,1,2020,26450,28050,0,0,28050,Chemistry,Chemistry,low,1600,1600
289,Idaho State University (ISU),Biological Sciences,0.84,2020-2021,4th,,4,2020,15863,0,15863,0,15863,Biology,Biology,high,0,0
290,University of Vermont (UVM),Natural Resources,0.96,2019-2020,1st,,1,2019,24947,26000,0,0,26000,Natural Resources,Other,low,1053,1053
291,Miami University (MU),Geography,0.67,2020-2021,1st,,1,2020,13000,0,14000,0,14000,Geography,Geography,high,1000,1000
292,University of Cincinnati (UC),Political Science,0.88,2020-2021,1st,,1,2020,17000,17000,0,0,17000,HistPolSoc,HistPolSoc,low,0,0
293,University of California - Los Angeles (UCLA),Sociology,1.08,2020-2021,1st,"$4,000 departmental funding guaranteed for first year summer if not granted university's $6,000 stipend ",1,2020,28000,0,24000,4000,28000,HistPolSoc,HistPolSoc,high,0,0
295,Colorado School of Mines,materials science,1.34,2020-2021,1st,,1,2020,30000,30000,0,0,30000,materials science,Other,low,0,0
296,Florida International University (FIU),Management information systems,1.04,2020-2021,1st,,1,2020,24810,27566,0,0,27566,Management information systems,Other,low,2756,2756
298,San Diego State University (SDSU),Computational Science,0.79,2020-2021,1st,,1,2020,21000,0,21000,0,21000,Computational Science,Other,high,0,0
299,University of Michigan - Ann Arbor (UM),earth and environmental science,1.42,2020-2021,1st,,1,2020,32668,32668,0,0,32668,earth and environmental science,Other,low,0,0
300,New York University (NYU),Economics (Stern),1.21,2019-2020,1st,"Paid over 11 months, no funding in 6th year.",1,2019,35950,36500,0,0,36500,BusinessAndManagement,BusinessAndManagement,low,550,550
301,University at Buffalo - SUNY,Political Science,1.55,2020-2021,1st,20k base then 12.5k additional Schomberg fellowship,1,2020,32500,32500,0,0,32500,HistPolSoc,HistPolSoc,low,0,0
302,University of Florida (UF),Anthropology,1.36,2020-2021,1st,"Doesn't include $10 per month for health insurance, tuition fees each semester (~$500)",1,2020,31000,31000,0,0,31000,Biology,Biology,low,0,0
303,University of California - San Diego (UCSD),Bioinformatics and Systems Biology,1.25,2019-2020,3rd,,3,2019,33000,33000,0,0,33000,Bioinformatics and Systems Biology,Other,low,0,0
306,University of Minnesota - Twin Cities (UM),Land and Atmospheric Science (LAAS),1.04,2020-2021,1st,"Required fees ""may run as high as $920/semester"". ",1,2020,23935,25775,0,0,25775,Land and Atmospheric Science (LAAS),Other,low,1840,1840
307,Indiana University,Anthropology,0.6,2019-2020,2nd,,2,2019,13024,0,15750,0,15750,Biology,Biology,high,2726,2726
308,Princeton University,philosophy,1.4,2020-2021,1st,,1,2020,35500,35500,0,0,35500,philosophy,Other,low,0,0
309,Baylor University (BU),Mechanical Engineering,1.21,2020-2021,1st,Insurance is partially or fully waived. Tuition is waived; figure mentioned here doesn't include tuition.,1,2020,24000,24000,0,0,24000,Engineering,Engineering,low,0,0
312,Tulane University (TU),Biomedical engineering,1.3,2020-2021,1st,,1,2020,30000,30000,0,0,30000,Biomedical engineering,Other,low,0,0
313,Purdue University - West Lafayette,Economics,1.11,2019-2020,1st,,1,2019,23500,24000,0,0,24000,BusinessAndManagement,BusinessAndManagement,low,500,500
314,Stony Brook University - SUNY,Civil Engineering,0.86,2020-2021,1st,,1,2020,24000,24000,0,0,24000,Engineering,Engineering,low,0,0
315,University of California - Los Angeles (UCLA),Theater and Performance,1.0,2020-2021,1st,"In addition to tuition, fee and insurance",1,2020,25750,0,25750,0,25750,Theater and Performance,Other,high,0,0
318,University of Michigan - Ann Arbor (UM),PIBS/ Microbiology & Immunology,1.42,2020-2021,2nd,Im guaranteed full support for the duration of my Ph.D.  ,2,2020,32700,32700,0,0,32700,PIBS/ Microbiology & Immunology,Other,low,0,0
320,University of Arizona (U of A),Systems and Industrial Engineering  ,0.86,2020-2021,1st,,1,2020,17800,0,19300,0,19300,Systems and Industrial Engineering  ,Other,high,1500,1500
321,National Institutes of Health (NIH),GPP,1.15,2020-2021,1st,,1,2020,34900,35000,0,0,35000,GPP,Other,low,100,100
322,University of Louisiana - Lafayette,Computer Science PhD,0.71,2019-2020,1st,,1,2019,14950,0,16000,0,16000,Computer Science PhD,Other,high,1050,1050
323,University of Minnesota - Twin Cities (UM),Health services Research ,1.27,2020-2021,1st,,1,2020,29000,29000,0,0,29000,Health services Research ,Other,low,0,0
326,University of Delaware (UD),Chemistry and Biochemistry,1.01,2019-2020,2nd,,2,2019,25700,27500,0,0,27500,Chemistry,Chemistry,low,1800,1800
327,University of Wisconsin - Milwaukee (UWM),Mechanical Engineering,0.52,2019-2020,2nd,Mandatory services fees,2,2019,11150,0,13000,0,13000,Engineering,Engineering,high,1850,1850
328,University of Nevada - Reno (UNR),Computer Science ,0.9,2020-2021,2nd,,2,2020,19000,22800,0,0,22800,MathematicsAndComputer Science,MathematicsAndComputer Science,low,3800,3800
329,Washington State University (WSU),Engineering and Computer Science,0.79,2019-2020,2nd,,2,2019,15000,17000,0,0,17000,Engineering and Computer Science,Other,low,2000,2000
330,University of Arizona (U of A),Computer Science,1.12,2019-2020,4th,"The amounts mentioned are estimates. 9 months pay is at 0.50 FTE, either from TA or RA (GA). Summer pay is not confirmed and may come from summer teaching or RA. Salary increases about 5% after Comprehensive Exam. Required fees include: mandatory fee for fall+spring semesters and international student services fees.",4,2019,23200,0,18500,6000,24500,MathematicsAndComputer Science,MathematicsAndComputer Science,high,1300,1300
331,University at Albany - SUNY,Education Policy and Leadership,0.79,2020-2021,1st,,1,2020,18000,0,18000,0,18000,Education Policy and Leadership,Other,high,0,0
332,University of Connecticut (UConn),Chemistry,1.08,2019-2020,3rd,Full TA assignment. Second level of pay scale. ,3,2019,26393,0,25081,3000,28081,Chemistry,Chemistry,high,1688,1688
333,Georgia Institute of Technology (Georgia Tech),Electrical and Computer Engineering (ECE),0.98,2020-2021,1st,"ECE Fellowship of 3000 / first year+ 1980 per month GTA. The stipend will increase upon receiving a GRA.  Funding for Fall, Spring and Summer of first year, after which the studnent is expected to get a GRA.",1,2020,22860,26760,0,0,26760,Electrical and Computer Engineering (ECE),Other,low,3900,3900
334,University of Texas - Austin (UT),Mathematics,1.49,2020-2021,1st,,1,2020,34000,34000,0,0,34000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0
335,University of Pennsylvania,Bioengineering,1.43,2019-2020,3rd,,3,2019,34500,34500,0,0,34500,Engineering,Engineering,low,0,0
336,Rutgers the State University of New Jersey - New Brunswick,Philosophy,1.49,2020-2021,1st,health insurance and tuition included,1,2020,38376,0,34500,5000,39500,ArtsAndTheology,ArtsAndTheology,high,1124,1124
337,Pennsylvania State University (Penn State),Geography,1.84,2020-2021,1st,,1,2020,41270,0,35000,6800,41800,Geography,Geography,high,530,530
338,Louisiana State University - Baton Rouge,Communication Studies,0.69,2020-2021,1st,,1,2020,15050,0,15050,0,15050,Communication Studies,Other,high,0,0
339,University of Southern California (USC),Epidemiology,1.39,2020-2021,1st,,1,2020,36000,36000,0,0,36000,Medical,Medical,low,0,0
340,University of Florida (UF),College of Medicine,1.25,2020-2021,1st,,1,2020,28400,29850,0,0,29850,College of Medicine,Other,low,1450,1450
341,University of Delaware (UD),mechanical,0.1,2019-2020,1st,semester fee of around $750 is paid,1,2019,2450,2450,0,0,2450,mechanical,Other,low,0,0
342,University of Wisconsin - Madison (UW),Nuclear Engineering,1.16,2020-2021,1st,,1,2020,26533,27333,0,0,27333,Nuclear Engineering,Other,low,800,800
343,Washington State University (WSU),civil and environmental engineering department,0.99,2020-2021,1st,,1,2020,18748,0,15561,5187,20748,civil and environmental engineering department,Other,high,2000,2000
344,Stony Brook University - SUNY,Computer Science,0.72,2020-2021,1st,,1,2020,20000,20000,0,0,20000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0
346,New York University (NYU),stern business,1.23,2020-2021,1st,two year of discounted housing,1,2020,36500,36500,0,0,36500,stern business,Other,low,0,0
347,University at Albany - SUNY,Psychology ,0.79,2020-2021,1st,,1,2020,18000,0,18000,0,18000,HistPolSoc,HistPolSoc,high,0,0
349,University of Notre Dame (ND),Civil and Environmental Engineering and Earth Sciences,1.45,2019-2020,1st,,1,2019,29720,30000,0,0,30000,Civil and Environmental Engineering and Earth Sciences,Other,low,280,280
350,University of Pennsylvania,Computer and Information Science,1.45,2020-2021,2nd,,2,2020,35000,35000,0,0,35000,Computer and Information Science,Other,low,0,0
