,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct
4879,Tufts University (TU),biology,1.13,2016-2017,1st,,1,2016,31500,32000,0,0,32000,Biology,Biology,low,500,500
4880,Rockefeller University,David Rockefeller Graduate Program,1.32,2017-2018,6th and up,,6,2017,39400,39400,0,0,39400,David Rockefeller Graduate Program,Other,low,0,0
4881,University of Kentucky (UK),Geography,0.68,2016-2017,5th,,5,2016,13828,0,15176,0,15176,Geography,Geography,high,1348,1348
4882,University of Minnesota - Twin Cities (UM),Experimental and Clinical pharmacology,2.14,2016-2017,3rd,,3,2016,49000,49000,0,0,49000,Experimental and Clinical pharmacology,Other,low,0,0
4884,University of Kentucky (UK),Toxicology & Cancer Biology,1.2,2017-2018,3rd,,3,2017,24500,24500,0,0,24500,Toxicology & Cancer Biology,Other,low,0,0
4885,University of North Texas (UNT),Biology,0.09,2016-2017,4th,"$700 per month for insurance- single, no family ",4,2016,2000,2000,0,0,2000,Biology,Biology,low,0,0
4886,Michigan State University (MSU),Forestry,1.27,2017-2018,1st,,1,2017,26000,26000,0,0,26000,Forestry,Other,low,0,0
4888,Duke University (DU),UPGG,1.26,2015-2016,4th,,4,2015,28000,28000,0,0,28000,UPGG,Other,low,0,0
4889,University of North Carolina - Charlotte (UNCC),Civil and Environmental Engineering,0.63,2017-2018,2nd,,2,2017,14500,20000,0,0,20000,Engineering,Engineering,low,5500,5500
4890,University of California - Irvine (UCI),English ,0.72,2017-2018,1st,,1,2017,21000,0,21000,0,21000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0
4891,Ohio State University (OSU),English ,0.85,2017-2018,1st,,1,2017,17000,0,17000,0,17000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0
4892,University of California - Davis (UCD),Sociology ,0.99,2017-2018,1st,,1,2017,23850,0,20000,4000,24000,HistPolSoc,HistPolSoc,high,150,150
4893,Georgia Institute of Technology (Georgia Tech),Electrical and Computer Engineering,1.01,2017-2018,4th,,4,2017,23536,27000,0,0,27000,Engineering,Engineering,low,3464,3464
4894,University of Maryland - Baltimore (UMB),School of medicine,1.09,2016-2017,1st,,1,2016,28000,28000,0,0,28000,School of medicine,Other,low,0,0
4895,Rice University,Sociology ,1.19,2017-2018,1st,,1,2017,26109,27500,0,0,27500,HistPolSoc,HistPolSoc,low,1391,1391
4897,Temple University (TU),psychology,1.04,2016-2017,4th,,4,2016,25000,25000,0,0,25000,HistPolSoc,HistPolSoc,low,0,0
4898,Indiana University,"Genome, Cell and Developmental Biology",1.09,2016-2017,4th,,4,2016,23500,25000,0,0,25000,"Genome, Cell and Developmental Biology",Other,low,1500,1500
4903,North Carolina State University (NCSU),Molecular Biomedical Sciences,0.88,2015-2016,1st,,1,2015,20000,20000,0,0,20000,Molecular Biomedical Sciences,Other,low,0,0
4904,North Carolina State University (NCSU),Molecular Biomedical Sciences,2.1,2017-2018,1st,,1,2017,48000,48000,0,0,48000,Molecular Biomedical Sciences,Other,low,0,0
4909,Washington University in St. Louis (Wash U),Division of Biological and Biomedical Sciences ,1.45,2017-2018,1st,,1,2017,30000,30000,0,0,30000,Division of Biological and Biomedical Sciences ,Other,low,0,0
4910,University of California - San Diego (UCSD),Biology,1.83,2016-2017,1st,,1,2016,48500,48500,0,0,48500,Biology,Biology,low,0,0
4911,Rice University,Anthropology,0.98,2017-2018,1st,,1,2017,21500,21500,0,0,21500,Biology,Biology,low,0,0
4912,University of California - Berkeley,Anthropology,0.94,2017-2018,1st,,1,2017,26000,26000,0,0,26000,Biology,Biology,low,0,0
